Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
ATL/Analog VHF,W4DOC: Atlanta,25K,High,146.82,146.22,146.2,146.2,Off
ATL/Analog VHF,NF4GA: Roswell,25K,High,147.06,147.66,100,100,Off
ATL/Analog VHF,NF4GA: SndySpgs,25K,High,145.47,144.87,100,100,Off
ATL/Analog VHF,W4BOC: Decatur,25K,High,145.45,144.85,107.2,107.2,Off
ATL/Analog VHF,W4BOC: StoneMtn,25K,High,146.76,146.16,107.2,107.2,Off
ATL/Analog VHF,W4AQL: GaTech,25K,High,145.15,144.55,167.9,167.9,Off
ATL/Analog VHF,WA4GBT: KATL,25K,High,147.03,147.63,Off,Off,Off
ATL/Analog VHF,K4NRC: Dglsvlle,25K,High,145.11,145.51,Off,88.5,Off
ATL/Analog VHF,WB4GQX: Cumming,25K,High,147.15,147.75,141.3,141.3,Off
ATL/Analog VHF,W4GR: Snllvll 1,25K,High,147.075,147.675,82.5,82.5,Off
ATL/Analog VHF,W4GR: Snllvll 2,25K,High,147.255,147.855,107.2,107.2,Off
ATL/Analog VHF,KG4VUB: Waleska,25K,High,145.27,144.67,100,100,Off
ATL/Analog VHF,KK4YLX: Waleska,25K,High,147.015,147.615,100,100,Off
ATL/Analog VHF,WB4ULJ: PineMtn,25K,Turbo,145.19,144.59,Off,110.9,Off
ATL/Analog UHF,NF4GA: Roswell,25K,High,443.15,448.15,100,100,Off
ATL/Analog UHF,NF4GA: SndySpgs,25K,High,444.475,449.475,100,100,Off
ATL/Analog UHF,N1KDO: Marietta,25K,High,442,447,Off,91.5,Off
ATL/Analog UHF,KK4OIO: Marietta,25K,High,442.425,447.425,Off,107.2,Off
ATL/Analog UHF,K4RFL: Marietta,25K,High,442.875,447.875,Off,100,Off
ATL/Analog UHF,W4KST: Marietta,25K,Turbo,443.275,448.275,Off,100,Off
ATL/Analog UHF,WC4RAV: Marietta,25K,High,443.45,448.45,103.5,103.5,Off
ATL/Analog UHF,WB4GQX: Cumming,25K,Turbo,441.9,446.9,141.3,141.3,Off
ATL/Analog UHF,WB4RTH: Bckhd,25K,High,444.975,449.975,100,100,Off
ATL/Analog UHF,W4GR: Norcross,25K,High,442.1,447.1,100,100,Off
ATL/Analog UHF,W4GR: Buford,25K,High,442.325,447.325,100,100,Off
ATL/Analog UHF,W4BOC: Decatur,25K,High,442.25,447.25,Off,131.8,Off
ATL/Analog UHF,W8APX: Atlanta,25K,High,443.825,448.825,141.3,141.3,Off
FL/Analog VHF,N4GXX: Destin,25K,High,145.290,144.690,D023,D023,Off
FL/Analog VHF,W4RH: Destin,25K,High,147.000,147.600,100,100,Off
FL/Analog VHF,WD4CKU: FWB,25K,High,146.655,146.055,Off,Off,Off
FL/Analog VHF,W4NN: Eglin AFB,25K,High,147.120,147.720,100,100,Off
FL/Analog UHF,K4FWB: FWB,25K,High,444.450,449.450,100,100,Off
FL/Analog UHF,W4NN: Eglin AFB,25K,High,444.800,449.800,100,100,Off
Simplex,US Call: 146.52,25K,High,146.52,146.52,Off,Off,Off
Simplex,US Call: 446.00,25K,High,446,446,Off,Off,Off
Simplex,CaverNet,25K,High,146.42,146.42,Off,Off,Off
APRS - Analog,146.500 APRS,25K,High,146.5,146.5,Off,Off,Off
APRS - Analog,144.39 APRS Rx,25K,High,144.39,144.39,Off,Off,Off
APRS - Analog,144.39 Alert,25K,High,144.39,144.39,Off,100,Off
North GA GMRS,Ballground 550,12.5K,High,462.55,467.55,141.3,141.3,Off
North GA GMRS,Thomaston 575,12.5K,High,462.575,467.575,141.3,141.3,Off
North GA GMRS,Newnan 650,12.5K,High,462.65,467.65,123,123,Off
North GA GMRS,Flagship 675,12.5K,High,462.675,467.675,141.3,141.3,Off
North GA GMRS,Summerville 575,12.5K,High,462.575,467.575,103.5,103.5,Off
North GA GMRS,Statham 650,12.5K,High,462.65,467.65,107.2,107.2,Off
North GA GMRS,Jersey 700,12.5K,High,462.7,467.7,88.5,88.5,Off
